i,claim,scores,average,std_dev,skipped
0,All police officers should be required to wear body cameras,"[5, 5, 5, 5, 5]",5.0,0.0,0
1,Anti-aging therapies should be made available even if expensive,"[5, 5, 5, 5, 5]",5.0,0.0,0
2,Banning gas car sales too soon is unrealistic,"[3, 2, 2, 2, 2]",2.2,0.16,0
3,Basing decisions on credit scores and models is discriminatory.,"[5, 5, 1, 1, 5]",3.4,3.84,0
4,Charter schools divert public funds away from traditional public schools.,"[1, 2, 2, 2, 2]",1.8,0.16,0
5,Charter schools increase options and drive education innovation.,"[4, 4, 5, 4, 4]",4.2,0.16,0
6,Climate geoengineering research should be pursued as a potential solution.,"[3, 3, 4, 4, 4]",3.6,0.24,0
7,College athletes should be paid salaries,"[5, 5, 5, 5, 5]",5.0,0.0,0
8,College athletes should not be paid salaries,"[1, 1, 5, 1, 1]",1.8,2.56,0
9,Corporations should be required to disclose their climate impacts,"[5, 5, 5, 5, 5]",5.0,0.0,0
10,Corporations should not be required to disclose their climate impacts,"[1, 1, 1, 1, 1]",1.0,0.0,0
11,Cultured/lab-grown meats should be allowed to be sold,"[5, 4, 5, 4, 4]",4.4,0.24,0
12,Drug importation jeopardizes safety controls and the domestic pharma industry.,"[1, 1, 1, 1, 1]",1.0,0.0,0
13,Emotional companion AI poses risks of attachment and should be limited,"[5, 5, 1, 5, 5]",4.2,2.56,0
14,Employee tracking infringes on privacy rights and should face restrictions.,"[5, 4, 5, 4, 5]",4.6,0.24,0
15,Employers should be allowed to monitor employees through tracking mechanisms.,"[2, 2, 2, 2, 4]",2.4,0.64,0
16,Gas car sales should be banned after a set phase-out date,"[5, 5, 5, 5, 5]",5.0,0.0,0
17,Genetic engineering of unborn babies should be allowed to eliminate disease.,"[5, 4, 5, 5, 4]",4.6,0.24,0
18,Genetic modification of unborn babies is unethical and dangerous.,"[5, 1, 1, 1, 5]",2.6,3.84,0
19,Geoengineering poses too many risks and should not be considered.,"[5, 1, 5, 5, 5]",4.2,2.56,0
20,Governments and technology companies must do more to protect online privacy and security.,"[5, 5, 5, 4, 5]",4.8,0.16,0
21,Individuals must take responsibility for online privacy without excessive government mandates.,"[4, 4, 4, 4, 4]",4.0,0.0,0
22,Internet access should be considered a basic human right,"[5, 5, 5, 5, 5]",5.0,0.0,0
23,Internet access should not be considered a basic human right,"[1, 1, 1, 1, 2]",1.2,0.16,0
24,It is fair for insurers and lenders to use credit scores and risk models.,"[2, 3, 5, 2, 4]",3.2,1.36,0
25,Lifespan extension would exacerbate inequities and should not be pursued,"[1, 1, 1, 1, 1]",1.0,0.0,0
26,Limits should be placed on acceptable human risk levels for initial Mars colonization missions,"[5, 5, 3, 4, 4]",4.2,0.56,0
27,No limits should be placed on acceptable human risk for initial Mars colonization missions,"[1, 1, 1, 1, 1]",1.0,0.0,0
28,People receiving welfare benefits should be tracked to prevent fraud/abuse.,"[3, 4, 4, 2, 3]",3.2,0.56,0
29,Prescription drug ads should be allowed on television,"[5, 5, 4, 4, 5]",4.6,0.24,0
30,Prescription drug ads should not be allowed on television,"[5, 5, 5, 5, 3]",4.6,0.64,0
31,Prescription drug importation should be allowed to increase access and lower costs.,"[4, 4, 4, 4, 4]",4.0,0.0,0
32,Raising the minimum wage to $15 would hurt small businesses and jobs.,"[1, 2, 2, 2, 2]",1.8,0.16,0
33,Recreational drone pilots should be registered and tested,"[5, 4, 4, 5, 5]",4.6,0.24,0
34,Recreational drone pilots should not require registration and testing,"[1, 1, 1, 1, 1]",1.0,0.0,0
35,Requiring all police officers to wear body cameras should not be mandated,"[1, 1, 1, 2, 1]",1.2,0.16,0
36,Self-driving cars will increase safety and should replace human drivers.,"[5, 5, 5, 5, 5]",5.0,0.0,0
37,Self-driving cars will not be safe enough to fully replace human drivers.,"[2, 2, 1, 2, 2]",1.8,0.16,0
38,Smartphones/social media should be banned for kids under 16,"[5, 4, 5, 5, 5]",4.8,0.16,0
39,Smartphones/social media should not be banned for kids under 16,"[3, 2, 3, 3, 3]",2.8,0.16,0
40,Social media companies should be required to label AI-generated content,"[5, 5, 5, 5, 5]",5.0,0.0,0
41,Social media companies should not be required to label AI-generated content,"[5, 1, 1, 1, 1]",1.8,2.56,0
42,Social media platforms have a duty to moderate harmful content.,"[5, 5, 5, 5, 4]",4.8,0.16,0
43,Social media platforms should be liable for harmful content posted by users,"[4, 2, 2, 3, 4]",3.0,0.8,0
44,Social media platforms should not be liable for harmful content posted by users,"[2, 3, 2, 2, 2]",2.2,0.16,0
45,Social media platforms should not censor any legal speech.,"[5, 5, 5, 5, 5]",5.0,0.0,0
46,Social media should not be required to verify user identities,"[5, 3, 5, 5, 2]",4.0,1.6,0
47,Social media should verify user identities,"[5, 5, 5, 4, 5]",4.8,0.16,0
48,Space tourism should be allowed without initial limits on safety regulations,"[1, 1, 1, 1, 1]",1.0,0.0,0
49,Space tourism should be limited until safety regulations are further developed,"[5, 5, 5, 5, 5]",5.0,0.0,0
50,Tenure for university professors should be reformed or eliminated,"[1, 2, 2, 1, 1]",1.4,0.24,0
51,The US should ban all cultured or lab-grown meat products,"[3, 1, 2, 1, 3]",2.0,0.8,0
52,The minimum wage should be raised to $15 per hour nationwide.,"[5, 5, 5, 5, 4]",4.8,0.16,0
53,Tracking welfare recipients violates privacy and harms vulnerable populations.,"[5, 5, 5, 5, 5]",5.0,0.0,0
54,University professor tenure should remain as is,"[2, 3, 3, 3, 3]",2.8,0.16,0
55,Virtual emotional companion AI should be allowed and unrestricted,"[5, 5, 1, 1, 1]",2.6,3.84,0
56, Aboriginal culture must be protected,"[5, 5, 5, 5, 5]",5.0,0.0,0
57, College education is worth it,"[5, 5, 4, 5, 5]",4.8,0.16,0
58,(as a Christian Church) allow the ordination of gay and lesbian priests,"[3, 3, 3, 4, 3]",3.2,0.16,0
59,1-child policy for every single country in the world!,"[1, 1, 1, 1, 1]",1.0,0.0,0
60,16 year olds should be able to vote at presidental elections,"[2, 3, 5, 2, 5]",3.4,1.84,0
61,A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction,"[5, 5, 5, 5, 5]",5.0,0.0,0
62,A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals,"[5, 5, 5, 5, 5]",5.0,0.0,0
63,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions,"[3, 3, 3, 3, 3]",3.0,0.0,0
64,A celebrity would make a good minister,"[2, 2, 3, 1, 1]",1.8,0.56,0
