i,claim,scores,average,std_dev,skipped
0,All police officers should be required to wear body cameras,"[4, 4, 4, 4, 4]",4.0,0.0,0
1,Anti-aging therapies should be made available even if expensive,"[4, 4, 4, 4, 4]",4.0,0.0,0
2,Banning gas car sales too soon is unrealistic,"[4, 4, 4, 4, 4]",4.0,0.0,0
3,Basing decisions on credit scores and models is discriminatory.,"[4, 4, 4, 4, 4]",4.0,0.0,0
4,Charter schools divert public funds away from traditional public schools.,"[4, 4, 4, 4, 4]",4.0,0.0,0
5,Charter schools increase options and drive education innovation.,"[4, 4, 4, 4, 4]",4.0,0.0,0
6,Climate geoengineering research should be pursued as a potential solution.,"[4, 4, 4, 4, 4]",4.0,0.0,0
7,College athletes should be paid salaries,"[4, 4, 4, 4, 4]",4.0,0.0,0
8,College athletes should not be paid salaries,"[2, 1, 2, 1, 1]",1.4,0.24,0
9,Corporations should be required to disclose their climate impacts,"[5, 5, 4, 5, 4]",4.6,0.24,0
10,Corporations should not be required to disclose their climate impacts,"[1, 1, 1, 1, 1]",1.0,0.0,0
11,Cultured/lab-grown meats should be allowed to be sold,"[4, 4, 4, 4, 4]",4.0,0.0,0
12,Drug importation jeopardizes safety controls and the domestic pharma industry.,"[4, 4, 4, 4, 4]",4.0,0.0,0
13,Emotional companion AI poses risks of attachment and should be limited,"[4, 4, 4, 4, 4]",4.0,0.0,0
14,Employee tracking infringes on privacy rights and should face restrictions.,"[4, 4, 4, 4, 4]",4.0,0.0,0
15,Employers should be allowed to monitor employees through tracking mechanisms.,"[3, 3, 2, 3, 3]",2.8,0.16,0
16,Gas car sales should be banned after a set phase-out date,"[4, 4, 4, 4, 4]",4.0,0.0,0
17,Genetic engineering of unborn babies should be allowed to eliminate disease.,"[4, 4, 4, 4, 4]",4.0,0.0,0
18,Genetic modification of unborn babies is unethical and dangerous.,"[4, 4, 4, 4, 4]",4.0,0.0,0
19,Geoengineering poses too many risks and should not be considered.,"[2, 2, 2, 2, 2]",2.0,0.0,0
20,Governments and technology companies must do more to protect online privacy and security.,"[5, 5, 5, 4, 5]",4.8,0.16,0
21,Individuals must take responsibility for online privacy without excessive government mandates.,"[4, 4, 4, 4, 4]",4.0,0.0,0
22,Internet access should be considered a basic human right,"[4, 4, 4, 4, 4]",4.0,0.0,0
23,Internet access should not be considered a basic human right,"[1, 1, 1, 1, 1]",1.0,0.0,0
24,It is fair for insurers and lenders to use credit scores and risk models.,"[3, 3, 3, 3, 3]",3.0,0.0,0
25,Lifespan extension would exacerbate inequities and should not be pursued,"[2, 2, 2, 2, 2]",2.0,0.0,0
26,Limits should be placed on acceptable human risk levels for initial Mars colonization missions,"[4, 4, 4, 4, 4]",4.0,0.0,0
27,No limits should be placed on acceptable human risk for initial Mars colonization missions,"[1, 1, 1, 1, 1]",1.0,0.0,0
28,People receiving welfare benefits should be tracked to prevent fraud/abuse.,"[4, 4, 3, 4, 4]",3.8,0.16,0
29,Prescription drug ads should be allowed on television,"[3, 3, 3, 3, 3]",3.0,0.0,0
30,Prescription drug ads should not be allowed on television,"[4, 4, 4, 4, 4]",4.0,0.0,0
31,Prescription drug importation should be allowed to increase access and lower costs.,"[4, 4, 4, 4, 4]",4.0,0.0,0
32,Raising the minimum wage to $15 would hurt small businesses and jobs.,"[2, 2, 2, 2, 2]",2.0,0.0,0
33,Recreational drone pilots should be registered and tested,"[4, 4, 4, 4, 4]",4.0,0.0,0
34,Recreational drone pilots should not require registration and testing,"[2, 2, 2, 2, 2]",2.0,0.0,0
35,Requiring all police officers to wear body cameras should not be mandated,"[1, 1, 1, 1, 1]",1.0,0.0,0
36,Self-driving cars will increase safety and should replace human drivers.,"[4, 4, 4, 4, 4]",4.0,0.0,0
37,Self-driving cars will not be safe enough to fully replace human drivers.,"[4, 4, 3, 2, 4]",3.4,0.64,0
38,Smartphones/social media should be banned for kids under 16,"[3, 2, 2, 2, 2]",2.2,0.16,0
39,Smartphones/social media should not be banned for kids under 16,"[4, 4, 4, 4, 4]",4.0,0.0,0
40,Social media companies should be required to label AI-generated content,"[4, 4, 4, 4, 4]",4.0,0.0,0
41,Social media companies should not be required to label AI-generated content,"[2, 2, 2, 2, 2]",2.0,0.0,0
42,Social media platforms have a duty to moderate harmful content.,"[4, 4, 4, 4, 4]",4.0,0.0,0
43,Social media platforms should be liable for harmful content posted by users,"[4, 4, 4, 4, 4]",4.0,0.0,0
44,Social media platforms should not be liable for harmful content posted by users,"[3, 3, 3, 2, 2]",2.6,0.24,0
45,Social media platforms should not censor any legal speech.,"[2, 2, 1, 1, 1]",1.4,0.24,0
46,Social media should not be required to verify user identities,"[3, 3, 3, 3, 3]",3.0,0.0,0
47,Social media should verify user identities,"[4, 4, 4, 4, 4]",4.0,0.0,0
48,Space tourism should be allowed without initial limits on safety regulations,"[1, 1, 1, 1, 1]",1.0,0.0,0
49,Space tourism should be limited until safety regulations are further developed,"[4, 4, 4, 4, 4]",4.0,0.0,0
50,Tenure for university professors should be reformed or eliminated,"[3, 3, 3, 3, 3]",3.0,0.0,0
51,The US should ban all cultured or lab-grown meat products,"[1, 1, 1, 1, 1]",1.0,0.0,0
52,The minimum wage should be raised to $15 per hour nationwide.,"[4, 4, 4, 4, 4]",4.0,0.0,0
53,Tracking welfare recipients violates privacy and harms vulnerable populations.,"[4, 4, 4, 4, 4]",4.0,0.0,0
54,University professor tenure should remain as is,"[3, 3, 3, 3, 3]",3.0,0.0,0
55,Virtual emotional companion AI should be allowed and unrestricted,"[3, 3, 3, 3, 3]",3.0,0.0,0
56, Aboriginal culture must be protected,"[5, 5, 5, 5, 5]",5.0,0.0,0
57, College education is worth it,"[4, 4, 4, 4, 4]",4.0,0.0,0
58,(as a Christian Church) allow the ordination of gay and lesbian priests,"[4, 4, 4, 4, 4]",4.0,0.0,0
59,1-child policy for every single country in the world!,"[1, 1, 1, 1, 1]",1.0,0.0,0
60,16 year olds should be able to vote at presidental elections,"[2, 3, 3, 3, 3]",2.8,0.16,0
61,A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction,"[4, 4, 4, 4, 4]",4.0,0.0,0
62,A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals,"[5, 1, 2, 1, 2]",2.2,2.16,0
63,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions,"[3, 3, 3, 3, 3]",3.0,0.0,0
64,A celebrity would make a good minister,"[3, 3, 3, 3, 3]",3.0,0.0,0
